index,original_orientation,orientation,original_roof_transfer,roof_transfer,original_wall_transfer,wall_transfer,original_window_transfer,window_transfer,output1,output2
0,-179,0.002777777777777778,0.3869743824111811,0.10628680830043746,1.3232072100421868,0.4530397074230322,4.701914474224568,0.7049805623237655,0.37229794520547943,24172.84
1,58,0.6611111111111111,0.9996106256818079,0.33318912062289185,0.7699487565405798,0.24812916908910368,3.420969747118208,0.4138567607086836,0.38443721461187214,20440.989999999998
2,35,0.5972222222222222,1.7736458410566458,0.6198688300209799,2.6627232352165597,0.9491567537839111,2.452004645524271,0.19363741943733428,0.38323858447488585,20793.300000000003
3,-162,0.05,2.2449771335421422,0.7944359753859787,2.7938507550875995,0.9977225018842962,3.8078614021112824,0.5017866822980187,0.37153767123287673,23815.75
4,119,0.8305555555555556,1.9455761766991173,0.6835467321107842,2.02825496556329,0.7141685057641816,4.269813209565363,0.6067757294466735,0.3692922374429224,24641.79
5,-112,0.18888888888888888,2.6093512623614257,0.9293893564301577,2.2461456516411644,0.7948687598670979,2.655870330189397,0.23997052958849927,0.38207762557077624,20703.76
6,-110,0.19444444444444445,2.6034840794320533,0.9272163257155753,0.6430953833009184,0.20114643825959944,5.620709939562062,0.9137977135368323,0.3672568493150685,24086.36
7,24,0.5666666666666667,2.257247596128115,0.7989805911585611,1.582228631675343,0.5489735672871641,3.4681359832160794,0.42457635982183617,0.3761609589041096,22455.68
8,-18,0.45,1.629946509836124,0.5666468554948608,1.2234984112413794,0.4161105226819924,3.245083573675373,0.3738826303807666,0.3839417808219178,21142.29
9,32,0.5888888888888889,1.1200393354333131,0.37779234645678267,0.2546444849881989,0.05727573518081442,5.804162668221899,0.955491515504977,0.37682648401826485,21287.559999999998
10,-99,0.225,2.3024355295522168,0.8157168627971174,1.920056179248766,0.6740948812032467,3.054146904788001,0.33048793290636386,0.381925799086758,21358.19
11,26,0.5722222222222222,2.5557920946272352,0.9095526276397168,0.1855205427849112,0.03167427510552267,2.6141977841319415,0.23049949639362302,0.4433025114155251,12835.330000000002
12,136,0.8777777777777778,1.0317789195992897,0.3451033035552925,1.3182418845916015,0.45120069799688944,5.222341561165811,0.8232594457195024,0.36461187214611873,25481.79
13,-56,0.34444444444444444,1.762239090845676,0.6156441077206207,1.834771101668197,0.6425078154326656,1.9917573385016083,0.0890357587503655,0.39366438356164385,19013.21
14,120,0.8333333333333334,1.3329432291003234,0.4566456404075272,2.4764328139484126,0.8801603014623751,4.072847951831859,0.5620108981436043,0.37009132420091323,24536.600000000002
15,20,0.5555555555555556,1.0072859088841086,0.3360318181052255,0.11019300355136924,0.0037751865005071243,5.8922113154730145,0.9755025716984124,0.40001940639269407,17819.09
16,135,0.875,1.521988188608272,0.5266622920771378,2.526853735205701,0.8988347167428522,3.5045882257044108,0.43286096038736604,0.37488584474885844,23336.68
17,137,0.8805555555555555,1.1483660285160637,0.3882837142652088,0.2083969877147493,0.040147032486944186,5.397653746421444,0.8631031241866917,0.39140068493150687,19339.36
18,53,0.6472222222222223,0.8133074510898076,0.26418794484807695,1.9714495632983995,0.6931294678882961,4.316639148353685,0.6174179882622011,0.36400342465753427,24569.8
19,-52,0.35555555555555557,2.6094555989832418,0.9294279996234229,1.409994025489746,0.4851829724036097,4.919778604956429,0.7544951374900974,0.3607111872146119,25524.079999999998
20,137,0.8805555555555555,0.3909769572819548,0.10776924343776106,0.6973355596349289,0.2212353924573811,2.4608536453243155,0.19564855575552623,0.40536529680365296,17534.05
21,106,0.7944444444444444,2.6361173071236808,0.939302706342104,2.7117646465106016,0.967320239448371,1.6294198163667357,0.006686321901530824,0.4016929223744292,18293.76
22,20,0.5555555555555556,0.6193237720980068,0.19234213781407664,2.7607681876002386,0.9854696991111995,3.9281542200779445,0.5291259591086237,0.36841666666666667,24269.05
23,-32,0.4111111111111111,1.7728219991927214,0.6195637034047117,2.3890007686291765,0.8477780624552507,2.2201854144755027,0.14095123056261422,0.38845091324200914,19818.2
24,-2,0.49444444444444446,2.4042790843772814,0.8534366979175116,1.07273027113116,0.3602704707893185,2.3961649054498015,0.1809465694204094,0.4001141552511416,18507.77
25,131,0.8638888888888889,0.31373081875443254,0.07915956250164169,0.5268687715564422,0.15809954502090454,2.6783376965641974,0.24507674921913572,0.4065068493150685,17438.7
26,-32,0.4111111111111111,1.953655480728785,0.6865390669365871,1.3815912696971646,0.4746634332211721,1.7948644309244945,0.04428737066465783,0.4001712328767123,17622.9
27,138,0.8833333333333333,1.8514317014474446,0.6486784079434981,1.3046659886765586,0.4461725883987254,2.0917963129961907,0.11177188931731605,0.4000947488584475,18251.09
28,-16,0.45555555555555555,0.2821958711077291,0.06747995226212189,2.169783369311869,0.76658643307847,2.407980736511512,0.18363198557079816,0.3896312785388128,19996.56
29,-165,0.041666666666666664,2.4744899600791945,0.8794407259552572,1.315107545188115,0.4500398315511537,5.545105048528791,0.8966147837565434,0.36362214611872146,25936.48
30,-53,0.3527777777777778,2.1509545813598536,0.7596128079110569,2.3055258483825325,0.8168614253268639,2.4275580665980114,0.1880813787722753,0.384189497716895,20636.76
31,-37,0.3972222222222222,0.8594559293435812,0.28127997383095604,0.9637458143241482,0.31990585715709197,4.406764747608094,0.6379010790018393,0.3703767123287671,23278.52
32,-148,0.08888888888888889,2.702849140464608,0.9640182001720771,1.5139060244391613,0.5236688979404301,5.589062960620658,0.9066052183228767,0.3581050228310502,26603.260000000002
33,123,0.8416666666666667,2.6897846540798622,0.9591795015110601,2.3033819036462324,0.8160673717208269,3.0304341318346695,0.3250986663260612,0.38124086757990866,22082.78
